(a)tata; atta|two (cardinal)
kelutā-|to cause to spring forth; to start (water) flowing; to tap (vb)
keme; kemen|earth (n)
kenásĭta|if it be so; may be; perhaps (adv)
keule|*renewal (n)
keurā|*renewed (adj)
keu̯rānā|new-moon (n)
khabar|a loaf or cake of bread (n)
khabdā; khabnā|(artificial) mound; pile (n)
khadmā|seat (n)
khagdā|fence (of stakes); heap; palisade; piled mound (n)
khamu-|to sit down (vb)
kheru-|to be master of; to lord it over; to own (vb)
kherī; kherūnī|lady (n)
kherū; khēr; kundō; árātō|lord (n)
kherū; khēr|master (n)
khimīti|chronic; clinging; persistent; sticking (adj)
khollō̆|cock (n)
kholyē; porokē|hen (n)
khomdō|(seat of the) deepest feelings (n)
khomlō|from the heart (adv)
khotta|to gather hastily together; to pile up (vb)
khyana|other (adj)
khyapat-|shoe (n)
khyā̆|other thing (pron)
khyē̆|other person (pron)
khābā|unleavened bread (originally from any vegetable, later just bread from grains) (n)
khā|far (adv)
khīnā|child (n)
khĭn-|now; *here (adv)
khōm|(physical) heart (n)
khō̆|acc[ompanied] by (prep)
kirissi|cleft (n)
kirtē|rune (n)
kiryaktō|shipwright (n)
kiryā|(small swift sailing) ship; swift (especially of things that pass easily through obstacles) (n adj)
ki|you (imperious/familiar) (n)
koitā-|to bring to life (vb)
kottō; ñgothō|foe (n)
kuitā-|to rouse; to waken (vb)
kuldā|hollow (adj)
kundō|leader; prince (n)
kurwē|ability; power; skill of the hand (n)
kwayam|10 (cardinal)
kwende|elf; speaker (n)
kwendā|assembly of (all the) people (n)
kwentrō|minstrel; narrator; reciter; speaker (n)
kwenyā|Elvish (adj)
kwetnā|proverb; saying (n)
kwinde|crest; ridge (n)
kwēn|(some)body; one; person (n)
kyaw-|to taste (vb)
kyelepē|silver (n)
kyulmā|mast (n)
kānā|clamour; outcry (n)
kānō|crier; herald; leader; ruler (n)
kārimā|able to be done; feasible (adj)
kāwāk|frog (n)
kā|home; house (n)
kēwā|fresh; new; renewed (adj)
k’la|*light (n)
labdē|licking up (food or drink) (n)
labmā|*(physical) tongue (n)
labmē|*language (n)
laikā|green (adj)
lairē|*summer (n)
lambā|physical tongue (n)
lambē|dialect; language; tongue (n)
lamā̆n(a)|animal (n)
langō|neck; route or connection between to places (n)
lasa|not it = it is/was not so (adv)
lassiē|*leafness (n)
lassē|leaf (n)
lawā|blooming; growing (n)
lañna|athwart (adv)
le(n)dembassē|bread taken on leaving home (for a long journey) (n)
ledmē|departure; leaving (n)
lepe; leper; lepero; lepetā|finger (n)
lepene|five (n)
lepenya|5th (ordinal)
lepetā|thumb; ‘picker’ (n)
le|you (sg.) (pron)
limi|link (n)
linde|singer; singing (n)
lindā|*sweet sounding (adj)
linkwē|light-substance (n)
liru-|to sing gaily (vb)
lisyā|sweet (adj)
logna|soaking wet; swamped (adj)
lossē|snow (n)
lossĭ|snow-white; snowy (adj)
loth; ñwa-lōth|inflorescence (n)
lotta-|to bloom (vb)
lubbu|a clumsy piece or lump (n)
lugni; luini|blue (adj)
lukma|heavy transport wain (n)
lungu|heavy (adj)
luʒu|*bow (n)
lā-|to not be (vb)
lā̆|beyond (prep adv)
lĭmbĭ|quick; swift (adj)
lō (n)|lying water (n)
lō (prep)|ablative; from a place within the world (prep)
lū|bow; curve (n)
magiti|handy; shapely; skilled (adj)
magrā|fit; good; proper; useful (adj)
magtā-|to deal with; to handle; to manage; to wield (vb)
maha; mā|hand (n)
maha|the manager (n)
mahsi|handiness (n)
maikā (adj)|going deep in; penetrating; sharp (adj)
maikā (n)|blade of a cutting tool or weapon (especially sword-blade) (n)
mailiki|abundance; wealth (n)
mai|well (adv)
makla|sword (n)
makwā|a hand-full; complete hand with all five fingers (n)
mal(a)tā|gold (as metal) (n)
malnā|of golden colour; yellow (adj)
malu|dust (n)
mammata-|to devour; to gobble up (vb)
manrā|good (adj)
masta-|to fatten; to feed up (vb)
mat-|to eat (vb)
matnā|[ᴹ✶] food; eaten (adj)
matulā|edacious (adj)
matyā-|to feed (vb)
matˢtimā|edible (adj)
mazgō|sticky substance (n)
maʒsē|handful (n)
mbandō|custody; duress; prison; safekeeping (n)
mbar(ă)|dwelling; habitation (n)
mbar-ndor|home land; native land (n)
mbar-|to dwell (vb)
mbard(a)|home; homeward (adv)
mbartā-|to decree; to define; to destine (vb)
mbassē|(baked) bread (n)
mbasta|batch (n)
mbazdā|baked or a baked thing (n)
mbā; māmā|sheep (n)
melnā|beloved; dear (n)
melā-; ndilā-|to love (vb)
menel|heaven; sky (n)
me|1st-pl-exclusive pronoun (pron)
mikrā|sharp-pointed (adj)
min(i)kewē̆|eleven; (lit.) fresh one (cardinal)
minya|first (ordinal)
min|one (cardinal)
miru̯(a)-wōrĭ|precious juice (n)
mizdē|drizzle (n)
mor(o)kē|she-bear (n)
morikwende|[ᴹ✶] Dark-elf (n)
mori|black (adj)
mornā|dark (adj)
mā-limi|wrist; (lit.) hand-link (n)
mēlā̆-mbar|beloved dwelling (n)
mēn-|a going; a mov[ement]; a way (n)
mē̆|2nd person plural exclusive pronoun (pron)
mīrĭ|precious; precious thing (adj n)
mītha|*grey (adj)
mī|in; within (prep)
mōl|[ᴹ✶] thrall; slave (n)
mōya-|to be afflicted; to labour; to toil (vb)
mō|person (n)
n(g)ā|terrible thing; terror (n)
n-uĕg|male (suf)
nadmā|a (large) bowl (n)
naikē|she-goat (n)
nandā|hollow (not used of things empty inside but those open above) (adj)
nandē|a valley; bottom (originally used only of not very large areas the sides of which were part of their own configuration) (n)
nanmen-|to return (vb)
nathlo; oþlō|guest (n)
naukā|dwarf(ed); shortened; stunted (adj)
nay-|to it may be; to maybe; to there is a chance or possibility (vb)
nayak|goat (n)
nayakō|he-goat (n)
nazgwē|bondage; durance (n)
nazgā|bond; fetter (n)
ndakta-|to slay (vb)
ndan-|back- (pref)
ndandō|one who goes back on his word or decision (n)
ndanmē|ebb; lowtide; retreat (n)
ndilā-|to be devoted to (vb)
ndorē; ndōro|land (n)
ndē̆r; nēr|man (n)
ndīli|a special concern with or love for (n)
ndī|beneath; not touching; under (prep)
ndī̆s|[ᴹ✶] bride (n)
ndūtā-|to cause to sink (vb)
ndūya-|to descend (vb)
nebā|on this (the speaker’s) side (prep)
negdē|exudation (n)
neila|3rd (ordinal)
nektē|angle (n)
nelede|three (cardinal)
nelekwe|*13 (cardinal)
nelkwăya|13 (cardinal)
nenda; nē̆n|water (n)
nerteya|9th (ordinal)
nes-|sweet smelling (adj)
nesī/nese|a person of female nature (suf)
neter(e)|nine (cardinal)
nethē|girl; young woman (n)
netthi|girl approaching the adult; sister (diminutive) (n)
niktil|little [finger] (n)
nimpĭ; ninkĭ|small (adj)
ninkwiraite|pallor (n)
ninkwisya-|to (begin to) grow pale (vb)
ninkwita-|to grow white; to whiten (vb)
ninkwitā-|to make white; to whiten (vb)
ninkwi|pale; white (adj)
ni|I; me (pron)
nki|*thou-and-I (pron)
notmē|a sum; calculation (n)
nukotto|a stunted or ill-shaped thing (or person) (n)
nuktā-|to not allow to continue; to prevent from coming to completion; to stop short; to stunt (vb)
numē-n; ṇdūnē|sunset (n)
numē-n|west (n)
nābā|hollow (n)
nāpa|thumb; (lit.) picker (n)
nāro|fire (n)
năta|thing (n)
nēnā|wet (adj)
nēr|a male person (n)
nēthā (adj)|gay; girlish; lively (adj)
nēthā (n)|sister (n)
nē|ago; before; then; was (adv)
nīs|female person; woman (n)
nōrē|kindred; race (n)
nōse|people; race; tribe (n)
nōto|number in counting; numeral (n)
nō|behind (adv)
oio|ever (adv)
okhor|blood (n)
okkā|knee (n)
oklā|bad; wicked (adj)
okma|an evil deed (n)
oktā|hostility; strife; war (n)
olā-|to become; to come into being; to turn into (another state) (vb)
omen-|to meet; to move to a common point (vb)
ontarō|begetter (n)
orlā; thara|over (prep)
ornā|tall; uprising (adj)
ornē|(straight) tree (n)
orta-|to ascend; to rise (vb)
ortā-|to raise (vb)
orya-|to rise (vb)
ostō|fortress or stronghold (n)
otoso|seven (ordinal)
otsōyā|seventh (ordinal)
oþlō|*stranger (n)
palad|plain (n)
palda|flat surface (n)
palnā|broad; wide (adj)
palátā|flat of the hand (n)
pal’tā|to feel with the hand; to stroke (vb)
paran|bald; bare; naked; unclad (adj)
pat(a)|ford; road; track; way (n)
pathnā|smooth (adj)
peles-; pelsa-|to fence round (vb)
peles|enclosure; fence (n)
pelola|beyond (the boundary) (adv prep)
pelo|a bound (n)
peltakse|a ‘pale’; fence of fixed stakes (n)
pendā|sloping (adj)
peñ|lip; mouth (n)
phaini|vapour (n)
phairi|spirit (general) (n)
phanmā|screen; veil (n)
phantā-|to cloak; to veil (vb)
phanyā|veiling; *veiled (adj)
phanā|cloud; veil (n)
pharalē|hunting (n)
pharne|any growing thing or plant (n)
pharā-; sparā-|to hunt; to pursue (vb)
phawalōkō|dragon (n)
phayā|indwelling spirit; soul (n)
phelgā|boring; mine; minor excavations; temporary dwellings; tunnel; underground dwel[ling] (n)
pheryā|prompt; quick; ready (adj)
philinki|finch (n)
phindē|tress (n)
phini-|a single hair (n)
phuinē|[ᴹ✶] night; deep shadow; night shade (n)
phāy|flame; ray of light (n)
phā|breath; puff of breath (n)
phū|excl[amation] of disgust (interj)
poli|meal (n)
pollō|ram (n)
poroki|fowl (n)
pī|fly; small insect (n)
pū; skā; skū|‽ (n)
raika|crooked (adj)
raitē|(special) fashion; peculiar hue (n)
ranthlā|ladder (n)
rantā|tracks and trails of travellers or explorers that had become habitual and could be followed by others (n)
rass|horn (n)
ratta|a track (n)
raukō|demon (n)
raurō|roarer (n)
reddā|acre; sown field (n)
rekti(e)|rescue; saving (n)
rembinā|meshed; netted; woven (adj)
rigelle|woman bearing a garland (n)
riknā|*crowned (adj)
rindi|swift (adj)
ringi|chill (adj)
rinsa|cleft; cloven; separate (adj)
rista|*cut (n)
roban|wilderness (n)
rokkē|mare (n)
rokkō|horse; swift horse for riding (n)
rokokwēn|horseman; rider (n)
rondō|cave; vaulted roof or chamber; †heavens (n)
rossē|dew; spray (of fall or fountain) (n)
roño|anon; soon (adv)
roññā-|to hasten (vb)
russā|copper-coloured; red-haired (adj)
rānā|moon (n)
rāw|lion (n)
rēnē|remembrance (n)
rē|single item take out of a (long) series (n)
rīgā|garland; wreath (n)
sam-wē|a thought; an act of thinking (n)
san-|that (n)
sapnā|delved hole; pit (n)
sarniye|pebble bank; shingle (n)
satarŏ|loyal companion; trusty follower (n)
satrā|loyal; steadfast; trusty (adj)
satya-|to set aside (vb)
sawā|filth (n)
sa|3 sg. neuter [it]; [ᴱ√] demonstrative; impersonal; the thing; this by me (pron)
sedu-|to go to rest (vb)
sel(dĕ)|*daughter (n)
se|3rd person singular pronoun; he; it; she (pron)
sidā̆|hither (adv)
silimā|[ᴹ✶] silver; crystal (white); shining white (n adj)
silki|sheen (n)
sinkitamo; tamō|smith (n)
sinki|*mineral (n)
sirya-|to flow [smoothly] (vb)
sisilla-; tithilla-|to glisten; to twinkle (vb)
skalā|a cast shadow; the action or effect of overshadowing (n)
skorā-|to await; to look out for; to watch for (vb)
slas|ear (n)
slimbi|gliding; sleek; sliding; slippery (adj)
slūbŭ|fat; greasy (adj)
smalu|[ᴹ✶] pollen; yellow powder (n)
sminu|slim (adj)
snagdē|a wound; a wounding (n)
spanā|a thing that veiled; a veil (n)
spindilā|head of hair (n)
spindē|braid of hair; tress (n)
spini-|thin thread (n)
srawā|body (n)
srāban|wild beast (n)
srāwe|*flesh (n)
srā|flesh (n)
stama-|to bar; to exclude (vb)
stenna|short (adj)
stona; thŏno|pine (n)
stīrē|face (n)
swa-swa|*violent wind (n)
syadnā|compressed (adj)
syandā|[ᴹ✶] throng; crowd; pressed mass (n)
sē|adessive; at; inessive; locative (prep)
sīru|stream (n)
sī|now or here; this (by me) (adv)
sĭnā|this (adj)
sū; sūli; sūri|wind (n)
tad(a)|thereto; thither; to that (adv)
taika|boundary; boundary line; limit (n)
takala|mark; post (n)
takse|*nail (n)
talam|[ᴹ✶] ‘flet’; flat space; floor; ground; platform (n)
talat-|to collapse; to fall in ruin; to slip (down) (vb)
tald(a)|to the foot (adv)
talmā|basis (n)
taltas-|to begin to slip down (vb)
taltā|tottering; unsteady (adj)
taman-|a thing made by handicraft (n)
tamō|craftsman (n)
tankas-|to become firm; to settle down (vb)
tankatā-|to confirm; to fix; to make firm (vb)
tankla|brooch; clasp; fastener; pin (n)
tankā|firm; fixed (adj)
tanma|sign; token (n)
tatakwe|*12 (cardinal)
tatalat-|to keep on slipping; to totter (vb)
tathari|*willow (n)
taurē|forest (n)
tawinā|wood (adj)
ta|that; then (conj)
tegmā|direct[ion]; process (n)
tegē|line; road (n)
tekma|pen (n)
tekmā|letter (n)
tekmē|grammar; writing (n)
teknā|a letter (epistola) (n)
tektā|mark; sign; symbol (n)
teleryā|of the Teleri (n)
telet-|to stop (up) (vb)
telu-|to cover over; to roof in (vb)
tete|3rd person dual (pron)
te|they (pron)
teñwe|indication; sign; token (n)
teñwā|letter; sign; token (n)
thakta-|to pressure or force ([one] to do something against one’s will or conscience) (vb)
thandā|shield (n)
thara (adj)|tall (or long) and slender (adj)
thara (prep)|(properly) athwart; across (prep)
thara-pata|crossway (n)
thillu-|to appear (of stars, etc.); to shine out (vb)
thindi; thindā; thini|grey (adj)
thorono|eagle (n)
thusta-; thūta-|to send on [a gust of air] (vb)
thusya-|to go forth (as an emission) (vb)
thā|next; then (adv)
thūsē|black mist; horrible darkness (n)
thū́lē|blowing forth (n)
tilte|peak (n)
tindōmi|*twilight (n)
tini|spark (n)
tirlā|looking (adj)
tolbā|a protuberance (esp. one designed for a purpose: a knob or rounded tool-handle) (n)
tollă|island (n)
tolokwe|eighteen (cardinal)
toltoya|8th (ordinal)
tolu-|to stand up (vb)
tolya|prominent (adj)
towo|wool (n)
tuilu-|to open (of buds, flowers) (vb)
tulku|prop; support (n)
tultā-|to fetch; to make come; to send (from point of view of receiver) (vb)
tulyā-|to cause to come; to fetch; to send for; to summon (vb)
tumbu|deep vale (n)
turuk|stake (n)
turunku|great stake (n)
turū|Great Lord or King (n)
tāl|foot (n)
tāra|high (adj)
tārī|(lit.) she that is high (n)
uba-|to approach; to be imminent; to draw near; to have in mind; to impend; to ponder (vb)
ubmē|imminence/threat (n)
ugrā|nasty (adj)
uklā|gloom; gloomy (adj)
ul-|to pour (vb)
urku/urkō|orc (n)
urkā|horrible (adj)
us(u)kwē|dusk (n)
verī|wife (n)
verū|husband (n)
wagmē|storm (n)
waile; waiwa(y)|*wind (n)
walka|ferocious; fierce (adj)
walna|excited; wild (adj)
wanya|fair-haired (yellow to golden) (adj)
wath|shadow (n)
wegtē|activity; occupation (n)
wegō(n)|living creature (n)
wegō|a person of male nature (and fëa); ruler (suf)
wendē|girl; maiden; young or small woman (n)
wenki; wensi|girl; young or small woman (n)
we|us (inclusive); we (pron)
wini|child not yet full grown (n)
womātē|*community; (lit.) eating-together (n)
wonā|male (adj)
wā-|*away (pref)
wāwā|to *blow (vb)
wāya|to blow (vb)
wōri|juice (esp. of fruit) (n)
wō|together (pref)
yandē|a wide region or country (n)
yarr-|snarl; *growl (n)
yat|ago; away back (adv)
yenā|female (adj)
yondō|boy; son (n)
yuldā|a draught; what is drunk (n)
yulmā|drinking-vessel (n)
yulmē|carousal; drinking (n)
yuyuñal|twilight (n)
yānā|extensive; large; wide (adj)
yō|together (plural) (adv)
yūnekē|2 sixes; twelve (cardinal)
yŭ|both (conj)
áse|sunlight (n)
áyan|holy thing or object or place (n)
ñ(g)alatā|(reflected) radiance; glitter (of reflected light); glory (n)
ñaldā|gleaming sheen (adj)
ñgauriyē|*she-were-wolf (n)
ñgawar|were-wolf (n)
ñgillē|silver glint (n)
ñgolodō|lore-master; sage (n)
ñgormē|awe; dread; reverence (n)
ñgornā|dreaded; revered (adj)
ñguriyē|she-wolf (n)
ñgurū|death (n)
ñgwar-|to fret; to wear away (vb)
ñgwaumē|wolvish howling (n)
ñgwaurō|wolf (not wild wolves) (n)
ñgyar-|to recite (vb)
ñgōlē|Science/Philosophy as a whole (n)
ñgūr|wolf (n)
ñwa-lōth|mass of flowers (on one plant) (n)
ñwe|1 pl. inclusive base (pron)
ṇ̃gyellē|small bell (n)
ṇ̃kwalē|torment (n)
ówō|together (adv)
ān(a)|subjective genitive (affix)
ā|imperative (particle)
ā̆|as for; as regards; with reference to (prep)
īb-|a cliff; a sheer descent (n)
ōma|voice (n)
ōre|arising (adj)
ūopa|dumb (adj)
ūr|a fire (on hearth) (n)
ū|primitive negative interjection (interj)
ʒandā|long (adj)
ṃbart(ă)|(orig.) permanent establishment; doom; fate (n)
ṃbono|clump; lump; mass (n)
